titles,rooms,areas,floors,renovations,materials,prices,addresses,lifts,securities,internets,playgrounds,sewerages,bathrooms,video_monitor,parking_spaces,air_conditions,furnitures
2-комнатная квартира на продажу,2,52 м²,2/5,Евроремонт,Кирпичный,88 500 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,84 м²,9/9,Средний,Панельный,65 500 у.е.,"город Ташкент, Юнусабадский район, 9-й квартал",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,78 м²,5/5,Средний,Панельный,64 500 у.е.,"город Ташкент, Юнусабадский район, 17-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,26 м²,1/4,Авторский проект,Кирпичный,40 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,62 м²,5/5,Требует ремонта,Панельный,53 200 у.е.,"город Ташкент, Юнусабадский район, 17-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,54 м²,1/4,Требует ремонта,Панельный,53 000 у.е.,"город Ташкент, Юнусабадский район, 6-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,52 м²,1/4,Средний,Другое,27 500 у.е.,"Джизакская область, Джизак, махаллинский сход граждан Жиззахлик, улица Хавастлик",no lift,No security,No internet,Детская площадка,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,55 м²,3/4,Требует ремонта,Кирпичный,61 500 у.е.,"город Ташкент, Юнусабадский район, махалля Отчопар-1, проспект Амира Темура",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,90 м²,5/5,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Нурхаёт",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,90 м²,3/4,Евроремонт,Панельный,120 000 у.е.,"город Ташкент, Учтепинский район, жилой комплекс Фарход",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,95 м²,7/10,Черновая отделка,Другое,80 000 у.е.,"город Ташкент, Сергелийский район, массив Сергели-VIа",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,3/4,Средний,Кирпичный,47 455 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,Мебель
3-комнатная квартира на продажу,3,70 м²,4/4,Евроремонт,Кирпичный,87 999 у.е.,"город Ташкент, Чиланзарский район, 5-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,30 м²,2/4,Евроремонт,Панельный,51 750 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,3/4,Средний,Панельный,60 750 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,2/5,Средний,Кирпичный,43 350 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,65 м²,3/5,Требует ремонта,Панельный,75 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1, улица Мусаввирлар",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Средний,Кирпичный,48 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахмад Дониш",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,27 м²,2/4,Требует ремонта,Кирпичный,31 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Хусниабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
5-комнатная квартира на продажу,5,112 м²,3/5,Средний,Панельный,106 000 у.е.,"город Ташкент, Юнусабадский район, 18-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,3/4,Евроремонт,Панельный,52 000 у.е.,"город Ташкент, Юнусабадский район, 3-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,48 м²,10/14,Евроремонт,Кирпичный,87 000 у.е.,"город Ташкент, Яккасарайский район, Prestige garden turar-joy majmuasi",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,33 м²,4/4,Средний,Кирпичный,45 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Элабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,47 м²,7/12,Авторский проект,Кирпичный,105 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Mirzo Ulugbek",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,52 м²,2/4,Евроремонт,Кирпичный,87 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,82 м²,3/14,Средний,Монолитный,63 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,1/4,Евроремонт,Панельный,57 750 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,57 м²,4/4,Евроремонт,Кирпичный,3 705 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Нилуфар",no lift,No security,No internet,Детская площадка,No sewerage,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,30 м²,1/4,Авторский проект,Панельный,41 500 у.е.,"город Ташкент, Учтепинский район, 22-й квартал",no lift,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,67 м²,2/4,Евроремонт,Кирпичный,90 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богишамол",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,7/9,Черновая отделка,Панельный,50 000 у.е.,"город Ташкент, Юнусабадский район, 11-й квартал",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,18 м²,2/4,Черновая отделка,Кирпичный,23 500 у.е.,"город Ташкент, Юнусабадский район, 11-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,55 м²,4/4,Требует ремонта,Панельный,53 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Элобод",no lift,No security,Интернет,No playground,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,18 м²,3/4,Средний,Кирпичный,25 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Минор",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,No air_condition,Мебель
3-комнатная квартира на продажу,3,70 м²,4/4,Средний,Панельный,71 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,3/9,Требует ремонта,Панельный,28 000 у.е.,"Ташкентская область, городской посёлок Назарбек, 2-й проезд Коракамиш",Лифт,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,38 м²,5/5,Средний,Панельный,40 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Юртабад",no lift,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,62 м²,2/5,Средний,Панельный,61 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Юртабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,1/4,Евроремонт,Панельный,59 750 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Чиланзар-3",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,52 м²,3/4,Евроремонт,Кирпичный,55 850 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Найман",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
5-комнатная квартира на продажу,5,140 м²,1/12,Евроремонт,Панельный,175 000 у.е.,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Чакар, улица Фурката",1,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,77 м²,3/4,Авторский проект,Кирпичный,155 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, проспект Амира Темура",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,128 м²,4/12,Евроремонт,Монолитный,180 000 у.е.,"город Ташкент, Мирабадский район, махалля Миробод, улица Нукус",Лифт,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,70 м²,3/4,Требует ремонта,Панельный,62 750 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",no lift,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,35 м²,4/4,Требует ремонта,Панельный,41 750 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,48 м²,4/5,Средний,Кирпичный,54 999 у.е.,"город Ташкент, Учтепинский район, 26-й квартал",no lift,No security,Интернет,No playground,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Евроремонт,Панельный,56 555 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Мехржон",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,1/4,Средний,Панельный,57 555 у.е.,"город Ташкент, Учтепинский район, жилой комплекс Фарход",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,56 м²,2/4,Евроремонт,Кирпичный,59 555 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Гузар",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,Мебель
2-комнатная квартира на продажу,2,52 м²,3/4,Средний,Панельный,56 555 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Бирлик",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,1/4,Средний,Панельный,65 999 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,30 м²,2/4,Средний,Панельный,41 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Мехржон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Авторский проект,Кирпичный,72 200 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,31 м²,1/4,Евроремонт,Панельный,59 900 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Чиланзар-3",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,71 м²,4/9,Евроремонт,Панельный,89 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",Лифт,Охрана,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,43 м²,2/4,Евроремонт,Панельный,53 700 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Адолат",no lift,No security,Интернет,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,70 м²,1/9,Средний,Панельный,79 500 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Алтынкуль, улица Абдурауфа Фитрата",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,63 м²,4/4,Евроремонт,Панельный,87 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,63 м²,4/9,Евроремонт,Панельный,79 800 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Сайхун",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,65 м²,4/4,Евроремонт,Панельный,87 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,60 м²,4/4,Средний,Другое,58 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Таллимаржон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,36 м²,3/4,Требует ремонта,Кирпичный,38 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Хусниабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Заминобод, улица Мирзы Джахангира",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,4/4,Средний,Кирпичный,40 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Темирйулчилар, улица Чамбил",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,2 м²,1/1,Средний,Другое,693.36 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бешкурган, улица Бунёд",no lift,Охрана,Интернет,No playground,Канализация,No bathroom,Видеонаблюдение,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,45 м²,2/4,Требует ремонта,Панельный,50 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Авиасозлар, 2-й проезд Авиасозлар",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,75 м²,4/4,Евроремонт,Кирпичный,95 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, проспект Мустакиллик",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,140 м²,4/10,Авторский проект,Кирпичный,250 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дамарык, улица Кичик Бешагач",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,123 м²,5/10,Черновая отделка,Кирпичный,125 000 у.е.,"город Ташкент, Шайхантахурский район, жилой комплекс Кукча дарвоза, улица Кукча Дарвоза",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,75 м²,4/4,Средний,Монолитный,77 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,265 м²,4/4,Евроремонт,Кирпичный,230 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Фидокор",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,112 м²,12/12,Черновая отделка,Кирпичный,100 800 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,92 м²,11/12,Средний,Кирпичный,84 000 у.е.,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Самарканд Дарваза, улица Самарканд Дарвоза",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,65 м²,8/9,Евроремонт,Монолитный,96 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Бешкапа, улица Буюк Ипак Йули",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,72 м²,4/4,Авторский проект,Кирпичный,88 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бешчинар",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,52 м²,3/4,Евроремонт,Кирпичный,57 000 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Найман",no lift,No security,No internet,No playground,Канализация,No bathroom,Видеонаблюдение,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,38 м²,1/1,Евроремонт,Кирпичный,29 200 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий, улица Сарыкуль",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,52 м²,4/5,Средний,Кирпичный,59 500 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Сарыкуль, улица Абдурауфа Фитрата",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,49 м²,2/4,Евроремонт,Кирпичный,44 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Замон, улица Янгизамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,22 м²,2/4,Евроремонт,Кирпичный,19 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Замон, улица Янгизамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,65 м²,2/4,Евроремонт,Кирпичный,102 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Истиклолабад, улица Сарыкуль",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,21 м²,2/4,Евроремонт,Кирпичный,23 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Замон, улица Янгизамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
